"","headline","clickbait"
"8690","Hey Lazy People, Here's A New Super Easy, Delicious Prawn Dish You Can Try",1
"17427","Six soldiers killed in Senegal after ambush",0
"376","Loaded Cheese Stuffed Mashed Potato Balls",1
"20946","Widespread strike action may hit France",0
"11447","Watch This Man Transform Into An Entire K-Pop Group",1
"22485","Sotomayor on the Issues",0
"10926","Drake Shared A Sweet Instagram Post Thanking Rihanna For His Only No. 1 Songs",1
"17303","10-year-old child takes grandmother's car for 85 Km drive",0
"1242","Here's What Child Actors From '00s Disney Channel Shows Look Like Now",1
"17871","Search and rescue beacons soon to make the digital jump",0
"22493","Microsoft announces web version of Office",0
"13440","How Fall Are You",1
"5999","24 Words Only  ""How I Met Your Mother"" Fans Really Understand",1
"30762","Freshwater lakes in Texas show signs of extreme drought",0
"22045","Ignatieff tops first ballot in Canadian Liberal convention",0
"30661","Winners of international postcard-sized art exhibit announced",0
"9558","22 Reasons You Need To Start Watching ""Outlander"" Immediately",1
"12865","22 Secrets Hotel Breakfast Waiters Are Supposed To Keep",1
"23409","Computer giants attack Aussie CSIRO's WLAN patent",0
"854","How Well Do You Actually See Autumn Colors",1
"25101","More arrests from Cronulla riots",0
"10006","21 Signs You're In A Relationship With Your Dog",1
"31642","New York City Mayor Michael Bloomberg spent US$108 million on third term bid",0
"10682","Young Thug Reading The Lyrics To His Song ""Best Friend"" Is Everything",1
"7494","Which Panic! At The Disco Album Best Fits Your Personality",1
"108","People Are Pretending To Faint In Front Of Their Dogs To See How They React",1
"12329","Damn Daniel Has Turned A Teenager Into A Huge Meme",1
"26721","David Cameron misses Prime Minister's Questions after father suffers stroke",0
"5400","10 Life-Changing Things To Try In October",1
"20246","Iraq War Claims Its Oldest Combat Fatality",0
"28797","Fourth Lebanon bomb rocks shopping mall",0
"3018","That Could Be Us But You Playin'",1
"2285","We Celebrated Thanksgiving With Celebs On The AMA's Red Carpet",1
"29011","Crime Ring Accused of 82 Fraudulent Home Sales",0
"26632","Signs of ancient hydrothermal vents found on Mars",0
"24972","Vietnam record drug seizure suspects convicted",0
"10699","You Need To See Gigi Hadid Naked On The Cover Of French ""Vogue""",1
"16528","Media reports exaggerate cell phone cancer risk",0
"26411","Possible end to strike, fines for BC teachers",0
"3733","21 Things You'll Understand If You Think Fancy Dress Is A Complete Shit Show",1
"5254","This Band Just Slayed Their Cover Of Justin Bieber's ""Sorry""",1
"7640","How Much Do You Actually Remember About 2006",1
"27866","Ronnie Lee Gardner executed by Utah firing squad",0
"24828","Some High-Tech Swimsuits Banned",0
"10696","19 Tweets That Are Way Too Funny For Everyone Who Loves Sleep",1
"2069","Can You Actually See The Difference Between Black And Blue",1
"28167","Cricket: India beats the West Indies by 16 runs",0
"21347","Sunnis withdraw from Iraqi government",0
"10538","Men Talk About Crushes On Friends",1
"29473","Obama nominates James Clapper for Director of National Intelligence",0
"30302","Explosion kills 42 miners in northern China; 27 missing",0
"14469","The Director Of ""Twilight"" Reveals Some Things You Probably Never Knew",1
"133","The 21 Best Server Memes On The Internet",1
"7812","29 Places To Shop For Your Wedding Online That You'll Wish You Knew About Sooner",1
"26379","Hussein enters ""not guilty"" plea at trial",0
"26217","Creator of Web Cartoon xkcd Writing a Paper Book",0
"386","21 Insanely Colorful Meals That Are Healthy AF",1
"14844","This Duo Covered Every Pop Hit Of 2015 In 3.5 Minutes",1
"1802","Are You The Only Person Who Doesn't Care To Watch The New Star Wars Movie",1
"24866","Australian Police net $540 million in ""liquid ecstacy""",0
"25346","Comcast and NFL Network Make 9-Year Deal",0
"22140","Author Vine Deloria dies at 72",0
"23884","Crisis or Not, Russia Will Build a Bridge in the East",0
"9094","Watch Deepika Padukone Make Fun Of Ranbir Kapoor For Being Terrible At The Internet",1
"2158","Hark, These Public Libraries Are Dueling To The Death to Defend Their Baseball Teams",1
"31458","A 1-2 Finish for Brawn in Australian Prix",0
"20681","Deal Brings TV Shows and Movies to YouTube",0
"487","We Need To Talk About Pumpkin Spice",1
"7379","After Their Son Died, A Family Decided To Build A Park For Kids With Disabilities",1
"31470","San Francisco hit-and-run suspect caught after lying",0
"27089","MDC may pull out of Zimbabwe election",0
"14006","Spike Lee Looks Back On The 19 Movies That Have Defined His Career",1
"15852","This Photo Series Shows How Instagram Photos Of India Can Hide The Big Picture",1
"19638","OJ Simpson found guilty in kidnapping, armed robbery case",0
"13401","26 Delicious Things To Serve At Your Holiday Party",1
"17805","Guinness turns 250",0
"908","The 46 Best Stoner Memes On The Internet",1
"3363","What Should You Bring To Your Friendsgiving",1
"9992","This Woman Unknowingly Photographed Her Own Engagement",1
"28290","Scotland Yard says suicide bomb blast killed Bhutto, not bullet",0
"12478","Which Celebrity Should Be Your First Famous BFF",1
"16631","Allotting of Iraqi Oil Rights May Stoke Hostility",0
"26938","Blagojevich Is a Flop in Audition in Court",0
"8054","17 Life-Changing Ways To Eat A Twix",1
"8649","Dads Failing At Riding Hoverboards Ruined Christmas For Everyone",1
"9183","34 Non-American Musicians You Need To Add To Your Playlist",1
"22704","Historic building in Moscow collapses, three people killed",0
"27706","Snakehead fish appear in large numbers near Potomac River",0
"28798","Zamboni Remains the First Name in Smooth",0
"25159","George Bush discusses Iraq 5 years after invasion",0
"14981","Are You More Light Or Dark Side Of The Force",1
"12471","This Quiz Will Tell You Which Naked Palette To Get",1
"647","These Insane Sandcastle Hotels Really Exist And You Can Actually Stay In Them",1
"12199","Barguments: Why I Love Camping",1
"19116","Cost Cuts at Qwest Help Profits Climb",0
"492","46 Literary Baby Names That'll Make You Want To Have Children",1
"20191","A Call for Smarter Regulation",0
"15546","15 Painful Truths For Very Mal Canadian French Speakers",1
"19970","ArcelorMittal, No. 1 Steel Maker, Reports  Loss",0
"18004","NHL: Penguins defeat Thrashers, catch Devils",0
"7348","People Tell Us Their Weirdest Groupon Purchases",1
"19513","Chris Hughton appointed permanent manager of Newcastle United",0
"21819","Russia Reopens Case of Murdered Journalist",0
"16937","America's Cup: Alinghi wins",0
"26356","Yankees Fans Top Mets Fans in City, Poll Finds",0
"18248","WWE Raw Results from Memphis, TN for September 15, 2008",0
"29209","At 17, Mets Prospect Wilmer Flores Is on Fast Track to the Majors",0
"17827","Zimbabwe cabinet meets without MDC ministers after boycott",0
"21622","German police arrest three in imminent terrorist plot",0
"23829","Russia May Turn to Foreign Banks for Loans to Cover Deficit",0
"7200","This Pug Dog Rollin' On His Motorcycle Gives Zero Shits",1
"26363","Roller skating babies become YouTube sensation",0
"26613","Polish Ex-Premier to Lead European Parliament, a First for Eastern Europe",0
"28606","As Iraq Stabilizes, China Eyes Its Oil Fields",0
"11600","Matt McGorry And Dascha Polanco From OITNB Reunited At The Emmys And People Freaked Out",1
"17415","Chrysler Cures a Bankruptcy, but Tests Loom",0
"10457","We Had Celebrities Try Jell-O Shots On The Golden Globes Red Carpet",1
"20714","CNN headquarters infected with computer worm, exaggerates global threat",0
"27603","Metropolitan Police release photographs of one of the London bombers",0
"10490","26 Things You'll Only Understand If You're The Oldest Child",1
"18915","Russia follows Georgia in signing peace plan",0
"19801","Newspaper Companies to Make More Cutbacks",0
"10765","The 24 Best Design Fails Of All Time",1
"18992","Wikinews visits the 2008 Reno Air Races",0
"1587","John Oliver Sums Up Hollywood Whitewashing",1
"20974","Deadly forest fire in Spain claims lives of firefighters",0
"18035","Moldova State University student to represent Moldova at world cyber games in Singapore",0
"19786","Bravitude and Chair of the Wikimedia Foundation on the main French TV network",0
"6818","57 Vintage Photos Of Couples That Will Make You Believe In Love",1
"22160","Japan weathers Typhoon Nabi",0
"5195","17 Times Jordin Sparks Totally Slayed The Instagram Game",1
"14259","Booze Vs. Weed: Which Is Superior",1
"23896","Tiger kills handler in Shanghai zoo",0
"16327","Layers of Armed Forces Wielding Power of Law",0
"1630","Kylie Jenner Blow-Drying Her Crotch In A CVS Bathroom Is More Funny Than It Should Be",1
"14614","18 Moments Of Incredible Humanity During The Chennai Rains",1
"7998","23 Tweets That Are Way Too Funny For Anyone With Boobs",1
"25248","The Woodcraft Folk loses subsidy",0
"5527","Tom Hanks And Jimmy Fallon Act Out ""Bridge Of Spies"" In Its Truest Form",1
"18520","Google hires lead developer for open source instant messenger, Gaim",0
"31123","Kosovo's independence unacceptable for Serbian PM",0
"21532","Magnitude 7.7 earthquake strikes off Indonesia coast",0
"29064","Sixteen policemen killed in suspected terrorist attack in Xinjiang, China",0
"24727","Lundqvist Leads Rangers to 2-0 Series Lead",0
"29709","'Gouge' found on wing of Space Shuttle Endeavour",0
"17908","Pretax Loss Weakens British Banking Merger",0
"12277","29 Photos Guaranteed To Make ""Simpsons"" Fans Laugh Every Time",1
"8978","The 13 Most Sexually Attractive Times Someone Stopped For Gas In 2015",1
"20330","Court participates in traffic ticket amnesty program",0
"17211","Some Pastors Worry About Guns in Church",0
"28994","Heavy storm hits Philippines, kills fourteen",0
"29929","9 Killed by Bomb in Afghanistan",0
"11827","26 Clever Products That Will Make Your Office So Much Better",1
"4876","18 Things That All Nerdy Couples Will Just Get",1
"9610","The 30 Best Neil DeGrasse Tyson Tweets Of 2015",1
"19000","UN: World hunger at all-time high due to economic slowdown",0
"14636","How Many Logan Lerman Movies Have You Seen",1
"2684","22 Reasons Why Eggs Should Be Banished From This Earth",1
"25209","NASA solar sail passes first major test",0
"22551","Businesses shy to adopt Windows XP SP2",0
"29254","Protesters clash with police as Bush visits London",0
"25352","Microsoft to establish its R&D center in Shanghai",0
"27415","Disappointing Retail Sales Sends Shares Down",0
"11405","How Many Disney Movies Have You Actually Seen",1
"9822","A String Quartet Performed During A Traffic Jam And Calmed Everyone's Rage",1
"7419","This Woman Taking A Picture With Reese Witherspoon In The Background Is All Of Us",1
"1131","22 Dogs Who Totally Nailed Their Geeky Halloween Costumes",1
"4333","Watch This Transgender Teacher Comfort Her Gender-Nonconforming Student",1
"18274","Two people die after contracting H1N1 virus, number of swine flu deaths in Scotland rises to 28",0
"28552","Warning in Colombia about possible volcanic eruption",0
"13580","Do You Own A Cat Or Does Your Cat Own You",1
"9395","Miley Cyrus Sent Britney Spears ""Britney"" Balloons For Her Birthday",1
"21718","Foxconn under pressure after tenth employee suicide this year",0
"29847","Gordon Brown makes speech as part of Labour Party conference",0
"20788","5 Children Presumed Dead in Houston Flash Flood",0
"15747","This May Be The First Couple To Have An Official Wedding Hashtag",1
"14596","23 Academy Awards GIFs Perfect For Everyday Situations",1
"2997","Which Of These ""Game Of Thrones"" Characters Are The Best",1
"24021","Sun Microsystems cuts 6,000 jobs",0
"15820","19 Foods That Should Never Have Been Invented",1
"28411","ConocoPhillips Reports a Fourth-Quarter Loss",0
"11352","24 Essential Life Lessons ""The Perks Of Being A Wallflower"" Taught Us",1
"13197","21 Shitty Places Every College Student Has Sadly Been Before",1
"22782","Church of Scientology blames Pearl Harbor, 9/11 on psychiatry",0
"13511","15 Of The Most Expensive Pictures In The World",1
"23515","UK judge reveals gang warfare crimes of policeman",0
"29206","Nevada Republican opposes Angle for US Senate over 'extreme' anti-abortion position",0
"11576","Lil Mama Has Managed To Become A Hilarious Meme",1
"8378","The 24 Funniest Tweets About Cats In 2015",1
"15478","When It's Too Late To Say Something",1
"4407","Signs That Your Mom Might Just Be Cool",1
"18403","U.S. Gains More Control as It Fights Afghan War",0
"26976","Slovakia on track to adopt euro in 2009",0
"29061","Mubarak arrested in Egypt ahead of corruption probe",0
"2548","This Is What Your Favourite Emojis Actually Mean",1
"5750","59 Reasons You Should Probably Answer That Call From Adele",1
"1967","Where In Wales Should You Actually Live",1
"4279","Miley Cyrus Freaks Out Over Phone Call From Hilary Duff In Throwback Interview",1
"6438","People Try Bull Testicles For The First Time",1
"8539","Kenan Thompson And Kel Mitchell Reunited On ""The Tonight Show"" And Our '90s Dreams Came True",1
"20874","Programs Try to Spur Move to Fuel-Efficient Cars",0
"22941","Obama Seeks Accord With Military on Iraq",0
"8781","We Need To Start Giving Out Oscars For These Categories ASAP",1
"5305","29 Facts You Probably Didn't Know About ""The Holiday""",1
"22967","Environmental Gains Lose Priority in China Amid Downturn",0
"2161","When You Go To Work Naked",1
"22014","NYPD shuts down anti-war speech due to absence of permit",0
"20594","US Secretary of State Hillary Clinton criticizes Turkey over human rights concerns",0
"25076","Nobel Peace Prize misused says Norwegian lawyer and activist",0
"1216","Do You Belong With Idris Elba Or John Boyega",1
"2395","Is This A Real Lipstick Shade Or Am I Messing With You",1
"24807","Mets Shut Down Redding, Once a Candidate for the Rotation",0
"26350","U.S. Congressman William Jefferson faces 16-count indictment for corruption",0
"31013","New York Times reporter sent to jail in leak case",0
"26368","No Illinois Perjury Charge for Burris",0
"13245","32 Pictures That Prove The 2005 MTV EMAs Were The Best EMAs",1
"26160","Opportunities  Wasted as Mets Let  Sweep Slip Away",0
"129","23 Things You Probably Shouldn't Say To Someone With Depression",1
"2424","Can You Name The John Green Book By Just The Cover Art",1
"19529","El Salvador elects leftist president Funes",0
"30333","15 killed and 22 injured after fire in Chinese bar",0
"28515","Microsoft Flight Simulator series grounded after layoffs",0
"31269","For a Week, CNN Turns Its Cameras to the Economy",0
"19176","Taliban commander blows himself up in Pakistan",0
"16698","U.S. Begins Third Effort to Convict 6 in Terror Case",0
"4324","12 Glorious Baileys Cocktails That Will Delight Your Tastebuds",1
"8881","Drop Everything And Google ""A Long Time Ago In A Galaxy Far Far Away""",1
"8101","19 Truly Awkward Lube Confessions",1
"17207","UK unemployment increases to 17-year peak",0
"26442","Wikinews Shorts: September 3, 2010/Fuel tanker aground in Northwest Passage",0
"26389","US government to resume Haiti evacuations",0
"11965","44 Completely Unreasonable Things Everyone Thinks When They Have A Crush",1
"24548","Bank of America Holders Are Soured on Chief",0
"407","What Should Your 2016 Name Be",1
"27100","Hurricane Beta makes landfall in Nicaragua",0
"5024","Emma Stone And Andrew Garfield Have Split Up",1
"31576","Wikinews interviews Jim Babka, chair of Libertarian organization Downsize DC",0
"16664","West Virginia Upsets No. 12 Georgetown",0
"19963","Bryant, Jackson and the Lakers Add to Their Trophy Collections",0
"14668","Here Are 8 Facts About Sheree That Kenya Might Want To Remember",1
"15226","21 Products On Sale For Under $25 You Should Totally Buy If You Love Color",1
"25786","Electronic Frontier Foundation sues Sony over CD technology",0
"517","17 Things Everyone Regrets Doing In Freshers' Week",1
"28831","English actress Elizabeth Taylor dies at age 79",0
"3793","The 17 Funniest Tweets About Grammar In 2015",1
"19974","Yahoo May Announce Layoffs on Tuesday",0
"15790","Which Character From ""K Project"" Are You",1
"25245","Residents evacuated after partial building collapse in Buffalo, New York",0
"17235","Technology developed to detect fake drugs quickly",0
"23898","Some Transit Aid May Be Freed Up for Operating Costs",0
"11739","Do You Interpret These Drawings The Same Way As Other People",1
"11585","19 Jaw-Dropping Wedding Venues For Book Lovers",1
"10817","The Hardest Weasley Family Quiz You'll Ever Take",1
"19849","Felipe Massa wins 2008 Bahrain Grand Prix",0
"13894","What's Your Favorite Comedy Movie With A Black Cast",1
"28096","NFL: Brett Favre traded to the New York Jets",0
"30931","Two embassies in Rome, Italy hit by bomb attack",0
"6314","Which Young Adult Heroine Are You Based On Your Zodiac Sign",1
"24036","Angry Azeris protest allegedly faked results of parliamentary elections",0
"15858","The Names Of Popular Celebrities According To My Mom",1
"17177","Guatemala arrests Twitter user for inciting financial panic",0
"17087","The Middle Kingdom Meets the Middle East",0
"16708","U.S. House vote forced on immediate pullout of troops in Iraq",0
"11721","Priyanka Chopra Is Now The Voice Of PETA's Life-Sized Robot Elephant",1
"24811","Intel Shifts Image Advertising to a Smaller Agency",0
"3641","Meet The Women Who Run The Raddest Non-Girl Scout Troop Around",1
"26151","50 dead after ferry in Myanmar capsizes",0
"19774","Judge in Nebraska says thou shalt not sue God",0
"2106","What Discontinued Fast Food Item Do You Miss The Most",1
"787","This Is The Difference Between People With Social Anxiety And Without",1
"24452","MTV to Put a Bit More Music Back on Television",0
"26167","High-Minded Budget Goals Yield to Reality",0
"1373","Literally Just A Bunch Of Shirtless Dudes Wearing Santa Hats",1
"1592","22 Honest Comebacks Retail Workers Wish They Could Use",1
"10512","This Makeup Artist Transforms Her Lips Into Tiny Pieces Of Art And It's Incredible",1
"13443","What Happens When Girls Do Each Other's Makeup",1
"30564","Growing Need for Medicaid Strains States",0
"17044","On State Secrets, Obama Is Sounding Like Bush",0
"5006","27 Faces Anyone Who Has To Serve Customers Will Understand",1
"1038","18 Photos That Prove The ""Harry Potter"" Actors Are Actually Their Characters",1
"6574","15 Moments When Eddie Guerrero Gave You Latino Heat",1
"28641","Osama bin Laden praises martyrdom in video",0
"31001","Plane crashes into office block in Austin, Texas",0
"28545","Delicacy of the Wild West Lives on for Those So Bold",0
"64","Do You Know The Lyrics To ""Hotline Bling"" By Drake",1
"11116","Who Would You End Up With In ""Once Upon A Time"" Based On Your Zodiac Sign",1
"12771","Two Huge Broadway Stars Covered Selena Gomez And It's Amazing",1
"18515","U.S. drones enter Libya conflict",0
"9112","Chilaquiles Are The Greatest Food Ever And You Should Try It",1
"30990","U.N. Penalizes North Korean Companies Over Nuclear Arms",0
"17010","Nebraska's two nuclear plants near Omaha on alert",0
"31612","Indian flooding displaces thousands",0
"8498","19 People Who Prove Rainbow Eyebrows Are Insanely Gorgeous",1
"6850","21 Delectable Subscription Boxes Foodies Will Totally Love",1
"21991","In Myanmar, Celebrating With Water, Letting Off Steam",0
"21886","Ousted PM Thaksin bemoans freezing of Swiss assets",0
"13076","Are You More Like Arya Or Sansa Stark From ""Game Of Thrones""",1
"12750","Meghan Trainor And Charlie Puth Made Out For An Uncomfortably Long Time At The AMAs",1
"10872","28 Ways To Add Extra Flavor To Everything You Cook",1
"4848","13 Beautiful Reasons Why You Should Go On An Adventure With Your Partner This Year",1
"2506","Can You Guess These Old Timey Slang Words",1
"22677","Swiss woman gang-raped in Madhya Pradesh, India",0
"24481","Bickering and Bogeys for Montgomerie and Lyle",0
"24951","Chilean miners rescue to begin on Tuesday, Minister Mañalich announces",0
"5920","Katie Holmes Wouldn't Reveal Who The Best Kisser On ""Dawson's Creek"" Was",1
"16668","Capitals Return to Peak Form",0
"6940","Can We Guess How Many People You Kissed In 2015",1
"1863","Which Hogwarts Houses Do The Characters Of ""Hamilton"" Belong In",1
"26884","Venezuelan referendum ends presidential term limits",0
"18334","British University academics vote for strike action",0
"8094","Ian McKellen Got Choked Up Reading This Beautiful Coming Out Letter",1
"11429","Kylie Jenner Wears Shiny Ass-Less Pants In New Interview Magazine Photo Shoot",1
"24992","Bloggers Create PAC to Recruit Liberal Candidates",0
"8168","23 Cats Who Won 2015",1
"19594","NASA's Swift detects possible birth of black hole",0
"10797","Are You More Regina George Or Lord Voldemort",1
"4759","27 Times Nadia Aboulhosn Was Right About Everything",1
"15625","15 Times Tina Fey And Amy Poehler Ruled The Golden Globes",1
"14200","This Is How People On Twitter Reacted To Jose Mourinho Leaving Chelsea",1
"9505","You Can Now Take Sriracha Everywhere With These On-The-Go Packets",1
"4973","Here's What You Need To Know About The Women Of ""Transcendent""",1
"11319","Can You Identify ALL Of These Footballers Just From Their Legs",1
"9547","These Memes Prove That Drake Can Always Dance On Beat",1
"25684","3,100 on Strike at Vale Inco in Canada",0
"15188","Which Stevie Nicks Song Are You",1
"4023","17 Kitchen Cheat Sheets You Should Know About",1
"5474","The Hardest ""10 Things I Hate About You"" Quiz You'll Ever Take",1
"31895","Libyan government forces capture eastern town from rebels",0
"10415","What's The Worst Thing You've Ever Done On A Dare",1
"27661","Myanmar Again Closes Trial of Dissident, Aung San Suu Kyi",0
"23557","Al Gore-owned cable news channel to relaunch August 1 with viewer-created content",0
"26687","Canadian airline Jetsgo ceases operations; 17,000 stranded",0
"7555","Here's How To Make An Easy Rum Apple Crisp",1
"31874","Space Shuttle Discovery launches on mission STS-124",0
"5620","17 Tattoos For All Makeup Lovers",1
"20590","NHL: Boston Bruins win Winter Classic in overtime",0
"3729","7 Easy Dinners That Are Tasty AF",1
"23233","South Korea Dodges Recession, but Narrowly",0
"9390","How Do Painkillers Know Where The Pain Is",1
"4400","FYI, This Is Why DJ Mustard Is Called DJ Mustard",1
"21896","Britain launches 2012 Olympic Lottery games",0
"7891","Which Vegetable Are You",1
"16768","NASA calls end to Mars Phoenix mission",0
"23160","Under New Chief, Another Shake-Up at Yahoo",0
"21714","FEMA head Michael Brown recalled to Washington",0
"31812","US investigators probe close call on North Carolina runway",0
"28846","Divers safe from pesticide from MV Princess of the Stars",0
"22230","Acquisition Company to Announce Bank Deal",0
"9764","Bollywood Celebrities Looked Damn Good At The 2016 Umang Mumbai Police Show",1
"5943","14 Times You Were Fiercely Linda From ""Bob's Burgers""",1
"21232","Top two aides quit US presidential candidate McCain's campaign",0
"8644","A Minute With Kendall Jenner And Her Wax Figure",1
"16957","Judge Dismisses Charges Against Defendant in Grace Asbestos Trial",0
"1611","Who Should Be Your First Male Co-Star",1
"21549","Bush has a rehearsed tele-conference with US troops in Iraq",0
"14736","Solange Shuts Down Instagram Commenter Who Called Her Son Ugly",1
"24729","Italy Blocks Cargo Ship Carrying Rescued Migrants",0
"11643","13 Insanely Clever Oatmeal Tricks You Need To Try",1
"1700","What Your Crush Thinks Of You Based On One Question",1
"3781","This Woman Made A Robot To Help Her Apply Lipstick And It's Hilariously Bad",1
"16219","Barnes & Noble Beats Earnings Estimates",0
"479","Show Us Your Health And Fitness-Inspired Tattoos",1
"29420","Obama Voices Optimism on the Economy",0
"14363","I Filmed My Co-Worker Eating Her Placenta",1
"18306","Critics honor 2004-2005 best in U.S. TV",0
"15977","23 Words You'll Only Understand If You're From Indiana",1
"24298","Good Golf Gear Makes the Difference in Foul Weather",0
"24928","Magnitude 6.5 earthquake rocks the Solomon Islands",0
"14382","Are You More Whatsapp Or Viber",1
"15703","Tina And Amy Proved They Should Present Every Lifetime Achievement Award",1
"9684","Try Not To Die Watching Channing Tatum Whisper Sweet Nothings To A Stranger",1
"24773","London police question captured bombing suspects",0
"30419","All metal cladding taken off Cabot Circus Tower due to fault",0
"20467","Re-creation of 1919 cross-Atlantic flight is successful",0
"3298","18 Photos Of Makeup That Will Make Every Girl Cringe",1
"8561","This Is How You Should Blend Your Hair With Different Weaves",1
"10581","This Steak Sandwich Is Glorious And Terrifying",1
"5863","What Cis People Say To Trans People Vs. What We Hear",1
"26452","Lexmark releases printer with built-in CD burner",0
"4186","27 Pictures That Will Make Way Too Much Sense To College Students",1
"4064","What Advice Do You Wish Someone Had Told You Before You Got Married",1
"22055","Tunisia, South Korea partner to monitor air quality",0
"2664","Married Vs. Single: When Should You Have Babies",1
"27082","Iraqi Lawmakers Delay Naming a New Speaker",0
"25355","Sex of recently-born panda still a mystery",0
"30165","Questioning if Universities Are Protecting Players or Simply Covering Up",0
"25211","Two-plane crash in Florida kills four",0
"28941","Ex-Sheriff Guilty of Rape",0
"11839","Let The Tarot Help You With Your Crush",1
"26388","Windows 7 will allow users to disable Internet Explorer",0
"16633","ITMS Canada launched",0
"26614","Sheffield tram-train project back on the rails",0
"934","What Happens When Little Girls Help Men Create The Perfect Texts To Their Crushes",1
"7239","This Coyote Is Having So Much Fun Playing Fetch By Itself",1
"101","We Taught These Grandmas How To Do The Nae Nae And It Was Cute AF",1
"24349","Minnesota boy with cancer and mother return to abide by court rulings",0
"20049","2007 World Deaf Swimming Championships Day 2: An intensive matchday",0
"520","We Know Which Country You're Going To Die In Based On One Question",1
"22054","Oxford University anti-peer-to-peer policy hits legal music service Spotify",0
"24697","NASA Optimistic That Debris Did Not Damage Shuttle",0
"30889","Icelandic Landsbanki Íslands earnings on the increase",0
"29592","Oklahoma Couple Finds Answers in a Book",0
"3415","We Know Where You Live Based On Your Favorite Foods",1
"31598","Turkey and Armenia sign historic agreement",0
"23819","German GDP drops by 3.8%, largest decline in 40 years",0
"17034","Cigarette Butts: Tiny Trash That Piles Up",0
"12302","Americans Try Canadian Candy For The First Time",1
"29355","Pitino Returns Home to the Garden, Surrounded by Family",0
"14288","A Black Body On Trial: The Conviction Of HIV-Positive ""Tiger Mandingo""",1
"12206","This Video Perfectly Captures The Sriracha Lover's Struggle",1
"30107","A Bird Quickly Learns to Tell Urban Friend From Foe",0
"17001","Apple executive leaves company after iPhone 4 antenna issues",0
"21060","Ford, Fiat to produce small cars together",0
"10791","I'm Black, But I'm Not",1
"14073","This Is What Other Countries Truly Think About Halloween In The U.S",1
"1846","Here's Some UNBEARABLY Cute Footage Of Ranveer And Deepika To Remind You How Alone You Are",1
"15383","This Is *Probably* How El Chapo Will Escape Prison Next",1
"4223","After Her Photographer Was A No-Show For Her Wedding, This Bride Received A Surprise Of A Lifetime",1
"11519","Sunset Hair Has Arrived And It's Drop-Dead Beautiful",1
"20064","UK's BAA forced to sell three airports",0
"7568","Husband Tries To Go Bra Shopping For His Wife",1
"12584","Busy Philipps' Elf On A Shelf Creations Are Absolute Genius",1
"1428","We Asked 12 Scientists How Their Faith Affects Their Work",1
"23684","Chinese City Bolsters Scant Consumer Spending With Free Vouchers",0
"15223","A Basic-Ass Guide To Men's Shirt Collars",1
"20489","U.S. Presidential candidate Michele Bachmann narrowly edges Ron Paul in Ames Straw Poll",0
"29305","White House spokesperson discusses situation in Burma",0
"21328","British snooker player Alex Higgins found dead at age 61",0
"21745","Explosion at earthquake-damaged Fukushima nuclear power plant",0
"9439","This Is What It Feels Like When Your Favorite TV Show Is Ending",1
"19722","Clear Channel Plans to Trim 1,850 Jobs",0
"10657","Can You Name The Disney Horse",1
"22248","India Opens High-Level Inquiry in Fraud Case",0
"10769","18 Completely Shocking Confessions From Nurses",1
"9101","We Know Which 2015 Celebrity Split You Are Based On One Question",1
"21357","Violent protests break out in Kyrgyzstan over allegedly rigged parliamentary elections",0
"21721","Meet Gar Ryness, the Batting Stance Guy",0
"21138","I.M.F. to Release Second Part of a $16.4 Billion Loan to Ukraine",0
"9792","How Many Of These Defunct English Football Grounds Have You Been To",1
"27609","Nokia and Intel to Work Together on Mobile Computing",0
"29176","US ABC network to offer more shows dubbed in Spanish",0
"25162","Soccer Provides Oasis in Mexican City Ravaged by Drug War",0
"27198","Argentine Supreme Court declares Riveros pardon unconstitutional",0
"12445","Can You Match Each Letter To Its Word In The Phonetic Alphabet",1
"14217","17 Dads Who Are Dad AF",1
"812","19 Hilarious Tweets About Kids That Will Make You Laugh Out Loud",1
"2480","The 21 Most Brooklyn Things That Have Ever Happened",1
"5956","This Duet Cover Of Adele's ""Hello"" Will Give You Intense Goosebumps",1
"26138","US actor Patrick McGoohan dead at age 80",0
"26229","Battling Knee Injury, Nadal Falls to Murray",0
"29158","Oil spill in Gulf of Mexico reported to have reached coast; offshore drilling ban announced by Obama administration",0
"16722","Bomb threat delayed an Air France flight to Paris days before Flight 447 crashed",0
"13859","11 Adorable Mini Desserts For The Holidays",1
"10929","17 Hilarious Gifts Parents Have Given To Their Kids",1
"24193","Spanish councillor shot and killed in the Basque Country",0
"5845","18 Pictures Everyone Who Loves Spilling The Tea Will Understand",1
"31596","Obama Seeks Action Against Credit Card Industry",0
"22896","Police call off search for missing woman in Georgia, USA",0
"8398","27 Studio Ghibli Tattoos That'll Make Your Heart Croon",1
"13662","16 Texts 2016 Is Actually Dying To Send You",1
"11329","Which HGTV Show Should Makeover Your House",1
"30423","Deal by Deal, China Expands Its Influence in Latin America",0
"25018","FDA says Coca-Cola's Diet Coke Plus is misbranded",0
"30263","Chomsky book banned from Guantanamo Bay",0
"30455","Coosh Headphones Are Meant to Stay Put",0
"4777","Google Maps Can Now Help You Find The Cheapest Gas",1
"24531","Fannie Mae forgives mortgage debt of 90-year-old woman who shot herself",0
"13034","24 Things You'll Only Know If You Have Nigerian Parents",1
"2267","18 Lol-Worthy Tumblr Posts About Books",1
"6919","This Was What The World Was Like The Last Time Someone Sold Over 2 Million Albums In One Week",1
